Code,Name,Country,Region
ADD,Addis Ababa Bole International Airport,Ethiopia,Africa
AMS,Amsterdam Schiphol Airport,Netherlands,Europe
ATH,Athens International Airport,Greece,Europe
ATL,Hartsfield-Jackson Atlanta International Airport,United States,North America
AUH,Abu Dhabi International Airport,United Arab Emirates,Middle East
BAH,Bahrain International Airport,Bahrain,Middle East
BCN,Barcelona–El Prat Airport,Spain,Europe
BKK,Suvarnabhumi Airport,Thailand,Asia Pacific
BLR,Kempegowda International Airport,India,Asia Pacific
BOG,El Dorado International Airport,Colombia,Latin America
BOM,Chhatrapati Shivaji Maharaj International Airport,India,Asia Pacific
BOS,Logan International Airport,United States,North America
BWI,Baltimore/Washington International Thurgood Marshall Airport,United States,North America
CAI,Cairo International Airport,Egypt,Africa
CDG,Charles de Gaulle Airport,France,Europe
CGK,Soekarno–Hatta International Airport,Indonesia,Asia Pacific
CLT,Charlotte Douglas International Airport,United States,North America
CUN,Cancún International Airport,Mexico,Latin America
DAL,Dallas Love Field,United States,North America
DCA,Ronald Reagan Washington National Airport,United States,North America
DEL,Indira Gandhi International Airport,India,Asia Pacific
DEN,Denver International Airport,United States,North America
DFW,Dallas/Fort Worth International Airport,United States,North America
DOH,Hamad International Airport,Qatar,Middle East
DTW,Detroit Metropolitan Wayne County Airport,United States,North America
DXB,Dubai International Airport,United Arab Emirates,Middle East
EWR,Newark Liberty International Airport,United States,North America
FLL,Fort Lauderdale–Hollywood International Airport,United States,North America
FRA,Frankfurt Airport,Germany,Europe
GRU,São Paulo/Guarulhos – Governador André Franco Montoro International Airport,Brazil,Latin America
HND,Tokyo Haneda Airport,Japan,Asia Pacific
HNL,Daniel K. Inouye International Airport,United States,North America
HYD,Rajiv Gandhi International Airport,India,Asia Pacific
IAD,Washington Dulles International Airport,United States,North America
IAH,George Bush Intercontinental Airport,United States,North America
IST,Istanbul Airport,Turkey,Europe
JED,King Abdulaziz International Airport,Saudi Arabia,Middle East
JFK,John F. Kennedy International Airport,United States,North America
KUL,Kuala Lumpur International Airport,Malaysia,Asia Pacific
KWI,Kuwait International Airport,Kuwait,Middle East
LAS,Harry Reid International Airport,United States,North America
LAX,Los Angeles International Airport,United States,North America
LGA,LaGuardia Airport,United States,North America
LHR,Heathrow Airport,United Kingdom,Europe
LIM,Jorge Chávez International Airport,Peru,Latin America
MAD,Adolfo Suárez Madrid–Barajas Airport,Spain,Europe
MCO,Orlando International Airport,United States,North America
MCT,Muscat International Airport,Oman,Middle East
MDW,Chicago Midway International Airport,United States,North America
MEL,Melbourne Airport,Australia,Asia Pacific
MEX,Mexico City International Airport,Mexico,Latin America
MIA,Miami International Airport,United States,North America
MNL,Ninoy Aquino International Airport,Philippines,Asia Pacific
MSP,Minneapolis–Saint Paul International Airport,United States,North America
MUC,Munich Airport,Germany,Europe
OGG,Kahului Airport,United States,North America
ORD,O'Hare International Airport,United States,North America
PHL,Philadelphia International Airport,United States,North America
PHX,Phoenix Sky Harbor International Airport,United States,North America
RUH,King Khalid International Airport,Saudi Arabia,Middle East
SAW,Sabiha Gökçen International Airport,Turkey,Europe
SEA,Seattle–Tacoma International Airport,United States,North America
SFO,San Francisco International Airport,United States,North America
SGN,Tan Son Nhat International Airport,Vietnam,Asia Pacific
SIN,Singapore Changi Airport,Singapore,Asia Pacific
SLC,Salt Lake City International Airport,United States,North America
SVO,Sheremetyevo International Airport,Russia,Europe
SYD,Sydney Kingsford Smith Airport,Australia,Asia Pacific
YUL,Montréal–Trudeau International Airport,Canada,North America
YVR,Vancouver International Airport,Canada,North America
YYZ,Toronto Pearson International Airport,Canada,North America
ZRH,Zurich Airport,Switzerland,Europe
YYC,Calgary International Airport,Canada,North America
