,origin.code_icao,delayed_count,num_flights,origin_airport_lat,origin_airport_lon,delay_percentage
0,BIKF,411,2071,63.985000610352,-22.605600357056,19.845485272815065
1,CYUL,1611,3508,45.4706001282,-73.7407989502,45.923603192702394
2,CYVR,1250,3612,49.193901062,-123.183998108,34.606866002214836
3,DAAG,4342,6240,36.69100189208984,3.215409994125366,69.58333333333333
4,EDDB,1673,3599,52.380001,13.5225,46.48513475965546
5,EGLL,3825,10498,51.4706,-0.461941,36.43551152600495
6,EHAM,2646,7177,52.308601,4.76389,36.8677720496029
7,EIDW,1939,7666,53.421299,-6.27007,25.29350378293765
8,EKCH,740,3338,55.617900848389,12.656000137329,22.168963451168363
9,ENGM,547,2812,60.121,11.0502,19.452347083926032
10,ESSA,1445,5815,59.651901245117,17.918600082397,24.849527085124677
11,HECA,3417,10850,30.12190055847168,31.40559959411621,31.493087557603687
12,KATL,873,3709,33.6367,-84.428101,23.53734160150984
13,KJFK,3319,11956,40.63980103,-73.77890015,27.760120441619268
14,KLGA,670,3615,40.77719879,-73.87259674,18.533886583679116
15,KMCO,1102,3460,28.429399490356445,-81.30899810791016,31.84971098265896
16,KMSY,529,3555,29.99340057373047,-90.25800323486328,14.880450070323489
17,KSFO,424,1079,37.61899948120117,-122.375,39.295644114921224
18,LEPA,1190,2141,39.551700592,2.73881006241,55.58150397010743
19,LFPG,2825,5525,49.012798,2.55,51.13122171945701
20,LFPO,1560,1920,48.7233333,2.3794444,81.25
21,LIRF,835,2936,41.8002778,12.2388889,28.440054495912808
22,LPPT,1540,3792,38.7813,-9.13592,40.61181434599156
23,MMGL,926,3763,20.52179908752441,-103.31099700927734,24.608025511559926
24,MMUN,1574,6234,21.036500930800003,-86.8770980835,25.248636509464227
25,OEJN,2087,7706,21.6796,39.156502,27.082792629120167
26,OMDB,4596,11877,25.2527999878,55.3643989563,38.69664056579944
27,RCTP,609,4286,25.0777,121.233002,14.209052729818012
28,RJAA,1848,7061,35.7647018433,140.386001587,26.17193032148421
29,RJFF,740,3520,33.585899353027344,130.4510040283203,21.022727272727273
30,RKSI,2890,9305,37.46910095214844,126.45099639892578,31.058570660934983
31,SABE,1235,3402,-34.5592,-58.4156,36.30217519106408
32,SBGR,1138,3023,-23.435556411743164,-46.47305679321289,37.64472378432021
33,SCEL,1008,3206,-33.393001556396484,-70.78579711914062,31.4410480349345
34,SKBO,778,4798,4.70159,-74.1469,16.215089620675283
35,TJSJ,907,3379,18.4393997192,-66.0018005371,26.84226102397159
36,VHHH,949,3322,22.308901,113.915001,28.56712823600241
37,VIDP,1201,3985,28.5665,77.103104,30.138017565872023
38,VTBS,1949,7593,13.681099891662598,100.74700164794922,25.668378769919663
39,WIII,3674,7831,-6.1255698204,106.65599823,46.91610266888009
40,WMKK,1525,3925,2.745579957962,101.70999908447,38.853503184713375
